Working Since (Date),Gender,Work Type,Pay Grade,Current Resources,Mental Fatigue Score,Burn Rate,Employee Position
2018-11-23,Male,Organised,1,9,9.1,0.2,Kitchen Helper
2019-09-18,Male,Unorganised,0,10,8.7,0.05,Housekeeper
2024-10-01,Male,Unorganised,2,2,7.3,0.7,Security Guard
2018-11-05,Male,Organised,1,9,4.7,0.11,Maintenance Staff
2023-06-09,Female,Unorganised,0,4,8,0.46,Cook
2020-09-04,Female,Organised,4,4,9.1,0.47,Kitchen Helper
2023-11-11,Female,Organised,2,10,6.2,0.61,Cleaner
2018-06-29,Female,Unorganised,2,5,6.6,0.66,Housekeeper
2024-10-30,Male,Unorganised,0,5,9.1,0.76,Security Guard
2021-07-05,Female,Unorganised,1,6,4.7,0.4,Maintenance Staff
2023-11-06,Female,Organised,4,4,1.8,0.44,Maintenance Staff
2020-04-28,Male,Unorganised,2,10,0,0.34,Housekeeping Manager
2021-11-28,Female,Unorganised,0,4,3.8,0.37,Cook
2022-05-07,Male,Organised,4,7,9.2,0.61,Housekeeper
2024-05-04,Female,Organised,3,9,8.3,0.38,Maintenance Staff
2019-08-08,Female,Organised,4,6,6.5,0.44,Kitchen Helper
2021-04-19,Female,Organised,1,5,8.3,0.91,Kitchen Helper
2024-08-22,Female,Unorganised,0,1,5.6,0.2,Maintenance Staff
2023-11-04,Male,Unorganised,4,6,4.4,0.19,Housekeeping Manager
2020-08-10,Female,Organised,3,7,6.1,0.48,Security Guard
2021-09-03,Female,Organised,4,10,5.5,0.39,Housekeeper
2022-04-03,Male,Organised,4,7,5.9,0.55,Janitor
2023-01-12,Female,Unorganised,0,7,6,0.46,Cleaner
2023-11-09,Female,Unorganised,0,7,5.5,0.37,Laundry Attendant
2020-08-07,Male,Unorganised,1,1,7.4,0.4,Housekeeper
2022-07-07,Male,Organised,4,5,8.7,0.33,Housekeeping Manager
2023-04-07,Male,Unorganised,3,2,5.5,0.72,Cleaner
2023-05-28,Female,Organised,0,1,4.4,0.27,Laundry Attendant
2024-05-28,Female,Organised,3,7,6,0.72,Maintenance Staff
2020-05-28,Female,Unorganised,2,3,4.3,0.39,Housekeeper
2020-09-20,Female,Organised,3,6,1.8,0.19,Security Guard
2019-01-25,Male,Organised,2,3,7,0.2,Cleaner
2023-04-08,Female,Unorganised,2,10,7,0.76,Kitchen Helper
2024-04-22,Female,Organised,1,7,8.7,0.94,Maintenance Staff
2019-06-11,Female,Organised,0,8,6.1,0.44,Security Guard
2023-07-24,Male,Unorganised,3,7,8.2,0.85,Security Guard
2022-08-05,Female,Unorganised,1,8,7.7,0.36,Janitor
2022-05-12,Male,Unorganised,0,2,2.9,0.2,Cleaner
2019-01-22,Female,Organised,2,9,4.9,0.18,Janitor
2019-11-09,Male,Organised,1,4,5.8,0.36,Maintenance Staff
2023-02-05,Male,Organised,4,3,4.9,0.37,Janitor
2023-05-19,Male,Organised,0,5,0.8,0.15,Kitchen Helper
2018-01-18,Female,Unorganised,0,8,7.7,0.04,Cleaner
2023-03-27,Male,Organised,1,3,0.8,0.71,Cook
2020-07-19,Female,Organised,1,5,6.1,0.31,Housekeeping Manager
2022-05-13,Female,Unorganised,3,10,6.2,0.72,Housekeeping Manager
2020-08-09,Female,Unorganised,0,6,6.7,0.52,Maintenance Staff
2018-10-12,Male,Organised,3,3,0.8,0.11,Maintenance Staff
2021-06-30,Male,Organised,3,4,0,0.34,Housekeeping Manager
2019-10-15,Female,Organised,1,1,6.3,0.31,Housekeeper
2021-11-18,Female,Organised,4,8,8.7,0.63,Cleaner
2023-10-20,Female,Organised,1,10,6.4,0.57,Cook
2018-12-31,Male,Unorganised,3,10,9.1,0.28,Janitor
2019-06-28,Male,Unorganised,0,8,5.6,0.26,Kitchen Helper
2022-12-30,Male,Organised,1,2,5.1,0.33,Maintenance Staff
2024-02-24,Male,Organised,4,6,3,0.71,Cook
2018-05-04,Female,Organised,1,2,2.9,0.12,Housekeeping Manager
2021-07-14,Female,Organised,0,7,7.5,0.55,Janitor
2020-06-18,Female,Organised,1,7,7,0.4,Maintenance Staff
2021-02-05,Male,Organised,0,8,6.3,0.85,Maintenance Staff
2019-10-28,Female,Unorganised,1,1,7.4,0.44,Laundry Attendant
2021-01-25,Female,Organised,2,3,7.9,0.4,Laundry Attendant
2023-06-17,Female,Organised,1,5,1.8,0.51,Laundry Attendant
2024-05-11,Male,Organised,2,10,2,0.52,Kitchen Helper
2020-08-06,Male,Unorganised,2,10,7.3,0.34,Cleaner
2024-03-27,Female,Unorganised,4,8,5.9,0.18,Security Guard
2020-10-14,Female,Unorganised,0,1,4.3,0.42,Cook
2024-09-28,Female,Organised,2,9,7.9,0,Maintenance Staff
2018-08-20,Female,Unorganised,2,3,2.9,0.22,Security Guard
2023-01-16,Female,Organised,1,6,3.9,0.79,Cook
2024-05-23,Male,Unorganised,4,9,5,0.04,Housekeeping Manager
2022-09-18,Female,Organised,0,6,1.8,0.28,Cook
2022-12-25,Female,Unorganised,2,7,7.5,0.68,Laundry Attendant
2021-05-06,Male,Organised,2,1,5.4,0.44,Kitchen Helper
2023-02-11,Female,Organised,4,3,5.4,0.19,Cleaner
2023-12-15,Male,Organised,4,3,4.9,0.66,Housekeeping Manager
2019-04-13,Male,Unorganised,2,6,8.3,0.32,Kitchen Helper
2022-01-26,Male,Organised,4,2,3.8,0.63,Maintenance Staff
2019-08-05,Male,Organised,3,2,6.9,0.81,Cook
2024-02-11,Female,Unorganised,1,10,4.4,0.57,Laundry Attendant
2019-09-19,Female,Organised,0,3,7.4,0.45,Maintenance Staff
2018-10-08,Male,Unorganised,0,8,3.9,0.19,Cook
2022-07-10,Female,Unorganised,0,5,6.1,0.04,Housekeeping Manager
2019-07-06,Male,Unorganised,2,3,8.2,0.63,Janitor
2018-02-26,Female,Unorganised,2,4,7.7,0.32,Housekeeping Manager
2019-12-05,Male,Unorganised,1,4,3.6,0.36,Cleaner
2019-06-23,Male,Unorganised,4,1,6.1,0.76,Cook
2024-06-11,Male,Organised,0,5,2,0,Cook
2018-08-30,Male,Organised,3,4,4.7,0.39,Security Guard
2022-07-14,Female,Organised,0,2,6.6,0.45,Janitor
2020-06-16,Female,Unorganised,1,6,7.6,0.7,Housekeeper
2018-07-20,Male,Unorganised,3,4,5.9,0.31,Laundry Attendant
2023-02-07,Male,Unorganised,0,6,6.8,0.46,Cook
2020-02-10,Male,Unorganised,0,7,8.7,0.49,Janitor
2018-04-13,Male,Organised,0,6,8.2,0.61,Cook
2023-04-28,Male,Unorganised,2,8,5.8,0.28,Kitchen Helper
2018-10-29,Male,Organised,3,2,8,0.27,Security Guard
2020-04-30,Female,Organised,3,6,7.4,0.53,Maintenance Staff
2019-08-29,Male,Organised,2,2,7.4,0.11,Housekeeper
2018-09-12,Female,Unorganised,2,5,5.8,0.2,Janitor
2019-03-23,Male,Organised,3,2,6.8,0.36,Security Guard
2019-08-12,Female,Organised,1,1,7.9,0.79,Housekeeping Manager
2024-12-22,Male,Unorganised,3,9,4.7,0.33,Kitchen Helper
2023-11-04,Male,Organised,3,1,5.9,0.44,Cook
2022-10-27,Male,Unorganised,4,1,9.1,0.2,Cook
2024-12-27,Female,Organised,2,10,5.6,0.72,Security Guard
2020-07-08,Male,Unorganised,2,10,6.2,0.56,Maintenance Staff
2019-06-19,Male,Organised,3,5,5.9,0.12,Kitchen Helper
2023-05-01,Male,Unorganised,1,6,6.3,0.34,Maintenance Staff
2024-11-30,Male,Organised,4,10,5.4,0.33,Maintenance Staff
2019-07-04,Female,Unorganised,0,10,0,0.36,Cleaner
2018-11-10,Female,Organised,4,3,4.3,0.63,Janitor
2019-02-19,Female,Organised,3,5,7.5,0.38,Cook
2022-01-16,Male,Organised,1,1,5.7,0.15,Laundry Attendant
2018-11-21,Female,Organised,3,10,1.8,0.59,Maintenance Staff
2020-12-25,Male,Organised,4,8,4.4,0.38,Housekeeper
2023-09-25,Male,Unorganised,0,7,3.6,0.46,Housekeeper
2021-05-09,Male,Unorganised,4,7,5,0.4,Kitchen Helper
2018-08-12,Female,Organised,2,1,8,0.41,Security Guard
2020-02-05,Female,Organised,0,5,7.5,0.32,Laundry Attendant
2021-02-05,Female,Unorganised,4,8,7.6,0.19,Janitor
2024-03-04,Female,Organised,4,7,4.3,0.61,Housekeeper
2019-09-09,Female,Unorganised,2,8,6.7,0.72,Cook
2021-08-24,Female,Unorganised,2,9,8,0.28,Maintenance Staff
2020-01-04,Male,Unorganised,0,5,6.9,0.46,Laundry Attendant
2019-01-20,Female,Organised,3,7,3,0.63,Cleaner
2024-11-13,Male,Organised,2,6,4.9,0.27,Security Guard
2019-11-14,Male,Organised,0,3,3.1,0.43,Cleaner
2020-02-25,Male,Unorganised,0,5,4.7,0.72,Maintenance Staff
2018-02-18,Female,Organised,0,7,4.4,0.16,Laundry Attendant
2021-12-16,Male,Organised,0,5,5.1,0.33,Janitor
2020-06-20,Female,Unorganised,4,8,8.7,0.11,Janitor
2022-04-07,Male,Unorganised,4,7,5.1,0.65,Laundry Attendant
2024-08-17,Male,Organised,1,3,10,0.41,Security Guard
2021-07-31,Male,Organised,1,4,6.7,0.42,Security Guard
2023-10-17,Female,Organised,1,7,3,0.27,Cleaner
2018-09-10,Male,Organised,3,9,7.3,0.49,Laundry Attendant
2022-08-30,Female,Organised,0,7,6.1,0.66,Security Guard
2023-07-10,Female,Unorganised,3,4,5.1,0,Cook
2021-01-12,Female,Unorganised,1,7,5.7,0.43,Cleaner
2023-01-26,Female,Unorganised,1,2,4.7,0.05,Housekeeper
2022-09-28,Male,Unorganised,1,1,6,0.34,Janitor
2019-06-15,Female,Organised,3,9,5.1,0,Housekeeper
2022-03-11,Male,Unorganised,0,2,5.4,0.8,Housekeeping Manager
2024-09-30,Female,Unorganised,3,9,7.6,0.42,Security Guard
2019-12-23,Male,Organised,0,8,0.8,0.37,Laundry Attendant
2019-03-02,Female,Unorganised,0,6,6.7,0.34,Laundry Attendant
2024-05-18,Male,Organised,2,6,3.9,0.11,Cleaner
2019-02-01,Female,Organised,4,7,2.9,0.81,Security Guard
2021-10-07,Male,Unorganised,1,4,6.6,0.49,Kitchen Helper
2023-08-06,Female,Organised,0,1,5.6,0.71,Laundry Attendant
2024-07-28,Male,Unorganised,0,7,7.9,0.11,Maintenance Staff
2019-02-27,Male,Unorganised,3,5,3.9,0.72,Kitchen Helper
2024-10-19,Female,Unorganised,4,6,0.8,0.32,Housekeeper
2020-01-14,Male,Unorganised,4,3,4.4,0.7,Cook
2019-03-17,Male,Organised,4,1,4,0.59,Cleaner
2022-06-04,Male,Unorganised,1,7,5.7,0.46,Security Guard
2024-04-20,Male,Unorganised,3,7,7.3,0.36,Kitchen Helper
2021-08-24,Male,Organised,3,4,4.3,0.05,Maintenance Staff
2018-08-04,Male,Organised,1,2,5,0.38,Housekeeper
2021-03-09,Male,Organised,4,4,6.4,0.81,Housekeeping Manager
2020-03-09,Male,Organised,4,9,5.9,0.36,Janitor
2019-12-06,Male,Unorganised,3,8,5.9,0.43,Housekeeping Manager
2019-10-31,Male,Organised,0,5,3.6,0.71,Janitor
2022-02-18,Female,Unorganised,2,3,7,0.16,Laundry Attendant
2020-09-23,Female,Unorganised,3,5,8,0.32,Janitor
2023-12-02,Male,Organised,2,2,5.1,0.18,Security Guard
2020-08-12,Male,Unorganised,0,3,8.7,0.35,Kitchen Helper
2024-08-02,Female,Organised,0,9,3.9,0.2,Housekeeper
2019-05-10,Female,Organised,0,6,6.5,0.59,Laundry Attendant
2023-06-21,Female,Organised,4,1,3.1,0.65,Cook
2023-11-06,Male,Organised,4,7,4,0.63,Housekeeping Manager
2022-08-27,Male,Organised,2,9,5.8,0.04,Cook
2021-03-11,Female,Unorganised,4,8,3.6,0.59,Cook
2018-07-31,Male,Unorganised,1,2,9.2,0.11,Housekeeper
2024-07-15,Female,Organised,1,3,4,0.85,Cook
2023-01-14,Female,Organised,0,4,6.6,0.91,Cleaner
2022-12-21,Female,Unorganised,2,5,6,0.94,Kitchen Helper
2023-09-01,Male,Unorganised,3,1,0,0.11,Janitor
2021-03-23,Male,Organised,0,9,7,0.52,Laundry Attendant
2022-08-09,Male,Organised,2,8,4.7,0.35,Cleaner
2021-10-27,Female,Unorganised,4,2,5.4,0.65,Security Guard
2021-01-01,Male,Unorganised,4,6,8.7,0.55,Cook
2024-04-22,Male,Unorganised,1,5,3.6,0.04,Janitor
2018-04-05,Male,Unorganised,0,1,3.6,0.26,Housekeeper
2022-04-14,Male,Unorganised,3,10,7.6,0.12,Housekeeper
2024-12-08,Male,Unorganised,2,10,4,0.66,Housekeeper
2021-10-09,Male,Organised,0,6,5.1,0.79,Cook
2021-12-27,Male,Unorganised,1,10,4,0.63,Housekeeping Manager
2020-04-13,Female,Organised,1,1,3.6,0.33,Maintenance Staff
2020-06-21,Female,Organised,4,5,3.6,0.55,Maintenance Staff
2023-05-02,Female,Organised,2,7,3.1,0.04,Security Guard
2023-08-28,Male,Unorganised,0,2,2.6,0.85,Housekeeper
2019-10-03,Female,Organised,2,6,5.8,0.41,Janitor
2020-01-11,Male,Organised,0,1,4.1,0.34,Security Guard
2024-08-17,Female,Unorganised,0,7,4.1,0.19,Housekeeper
2019-05-17,Male,Unorganised,2,7,7,0.61,Cook
2021-04-22,Female,Unorganised,3,9,8.2,0.32,Janitor
2018-06-16,Male,Unorganised,2,3,2.9,0.45,Cook
2020-09-21,Male,Unorganised,4,6,6.4,0.35,Housekeeper
2024-08-28,Female,Unorganised,2,1,5.7,0.18,Laundry Attendant
2021-05-30,Male,Organised,2,9,2.9,0.26,Housekeeper
2020-07-04,Female,Organised,0,3,0.8,0.28,Housekeeper
2024-12-22,Male,Unorganised,4,1,0.8,0.63,Cleaner
2022-04-26,Male,Unorganised,2,2,5.8,0.15,Janitor
2024-09-10,Male,Organised,0,9,1.8,0.6,Cook
2019-09-10,Female,Organised,3,10,2,0.49,Cook
2024-11-17,Female,Organised,0,6,7.7,0.04,Laundry Attendant
2020-05-05,Female,Organised,4,9,6.6,0.12,Janitor
2023-03-12,Male,Organised,4,1,4.3,0.35,Laundry Attendant
2018-10-20,Male,Organised,3,4,6.9,0.15,Housekeeping Manager
2022-11-05,Female,Organised,4,3,7.4,0.2,Cleaner
2024-09-25,Female,Unorganised,4,9,5.3,0.36,Cleaner
2023-08-21,Male,Unorganised,2,7,6.5,0.41,Security Guard
2024-08-25,Male,Unorganised,4,10,5.8,0.85,Janitor
2018-10-20,Female,Unorganised,4,3,2,0.29,Housekeeping Manager
2021-06-13,Male,Organised,1,6,9.2,0.72,Security Guard
2021-01-18,Female,Organised,1,1,2.9,0.7,Housekeeping Manager
2021-04-25,Male,Organised,1,10,3.1,0.81,Housekeeper
2024-11-09,Female,Organised,0,10,3.8,0.04,Housekeeping Manager
2022-07-07,Male,Unorganised,4,9,4.7,0.68,Security Guard
2018-09-15,Female,Organised,2,8,9.2,0.81,Laundry Attendant
2024-06-01,Female,Unorganised,4,9,0,0.56,Cook
2021-07-21,Male,Unorganised,2,2,6.3,0.38,Security Guard
2021-05-02,Female,Unorganised,2,8,4.9,0.36,Cleaner
2022-03-12,Male,Unorganised,0,10,5,0.67,Security Guard
2024-05-29,Female,Unorganised,0,7,5.6,0.57,Maintenance Staff
2019-10-19,Female,Organised,0,3,6,0.39,Maintenance Staff
2018-04-09,Male,Unorganised,1,2,3.6,0.62,Housekeeper
2023-07-22,Male,Unorganised,1,9,5,0.55,Janitor
2021-04-29,Female,Unorganised,1,4,6.8,0.19,Laundry Attendant
2023-03-05,Female,Organised,2,3,3,0.62,Security Guard
2021-09-14,Male,Organised,0,7,6.9,0.31,Housekeeper
2022-09-07,Male,Unorganised,2,5,6.6,0.65,Laundry Attendant
2019-09-13,Female,Unorganised,0,1,5.5,0.27,Security Guard
2022-01-22,Male,Organised,3,7,5.5,0.39,Janitor
2018-02-16,Female,Organised,2,4,6.4,0.2,Housekeeper
2024-12-21,Male,Unorganised,3,8,10,0.18,Laundry Attendant
2018-01-09,Female,Organised,3,6,8,0.91,Janitor
2024-04-26,Male,Unorganised,2,10,5.6,0.36,Maintenance Staff
2020-10-26,Male,Unorganised,1,2,2,0.26,Security Guard
2024-09-25,Male,Organised,0,8,8.2,0.57,Cook
2021-04-26,Female,Unorganised,1,1,4.1,0.67,Kitchen Helper
2018-01-05,Male,Organised,2,2,6.5,0.56,Housekeeping Manager
2020-03-23,Female,Unorganised,1,8,1.8,0.42,Maintenance Staff
2023-04-07,Male,Organised,1,10,8.2,0.43,Security Guard
2022-10-08,Male,Organised,1,3,5.7,0.19,Janitor
2020-08-12,Female,Unorganised,1,3,0,0.81,Janitor
2020-01-11,Female,Organised,1,5,10,0.49,Security Guard
2024-02-29,Male,Unorganised,2,6,8,0.29,Janitor
2023-10-28,Female,Organised,3,5,3,0.57,Security Guard
2018-05-11,Female,Organised,2,10,7.4,0.44,Housekeeper
2019-10-02,Male,Unorganised,2,5,5,0.48,Housekeeper
2018-09-08,Female,Organised,4,5,7.4,0.2,Housekeeping Manager
2023-10-18,Female,Unorganised,3,9,5.7,0.38,Housekeeper
2020-12-22,Female,Unorganised,1,9,6.7,0.39,Security Guard
2023-12-29,Male,Organised,4,3,4.1,0.37,Janitor
2023-06-25,Male,Organised,2,5,4.3,0.26,Maintenance Staff
2018-09-15,Male,Unorganised,2,4,5.7,0.43,Janitor
2018-12-26,Female,Unorganised,2,6,3,0.2,Janitor
2019-09-08,Male,Organised,2,9,5.1,0.46,Security Guard
2020-10-03,Male,Unorganised,2,7,8.2,0.71,Housekeeper
2020-06-16,Male,Unorganised,0,5,6.1,0.36,Cook
2023-06-08,Male,Organised,2,3,3.1,0.59,Laundry Attendant
2022-01-19,Male,Unorganised,4,2,3,0.56,Cook
2021-09-03,Female,Organised,0,8,8.7,0.31,Cleaner
2023-04-29,Male,Organised,3,10,3.8,0.61,Housekeeper
2019-11-13,Male,Unorganised,2,8,2.6,0.36,Security Guard
2022-11-26,Female,Unorganised,4,2,8.7,0.65,Cleaner
2021-07-25,Male,Unorganised,3,6,4,0.8,Janitor
2019-10-22,Male,Unorganised,4,1,2,0.42,Security Guard
2022-01-17,Male,Unorganised,1,7,10,0.42,Cleaner
2019-01-15,Male,Unorganised,2,5,0,0.42,Housekeeper
2023-04-05,Male,Unorganised,2,10,0,0.37,Security Guard
2019-10-13,Male,Unorganised,1,3,7.5,0.48,Kitchen Helper
2024-07-16,Male,Unorganised,0,3,3.9,0.29,Laundry Attendant
2020-03-01,Male,Unorganised,2,10,8,0.18,Security Guard
2018-08-15,Male,Unorganised,4,3,6.3,0.29,Housekeeper
2018-07-12,Female,Organised,3,9,10,0.51,Laundry Attendant
2024-04-02,Male,Unorganised,2,10,4,0.32,Laundry Attendant
2019-08-26,Male,Unorganised,2,1,4.9,0.37,Cook
2019-09-17,Male,Unorganised,4,7,0.8,0.6,Janitor
2024-10-10,Female,Unorganised,0,2,7.5,0.67,Kitchen Helper
2018-02-07,Female,Unorganised,2,1,8.2,0.81,Maintenance Staff
2018-12-01,Male,Organised,2,3,6.9,0.22,Maintenance Staff
2018-10-07,Male,Organised,3,2,5.9,0.63,Housekeeping Manager
2024-02-20,Female,Unorganised,2,10,8.7,0.28,Housekeeping Manager
2021-09-22,Male,Organised,3,3,8.7,0.66,Maintenance Staff
2019-10-23,Female,Unorganised,1,4,10,0.05,Cleaner
2021-01-17,Female,Unorganised,4,7,5.9,0.48,Housekeeper
2019-02-27,Male,Organised,2,7,5.7,0.44,Janitor
2023-04-02,Female,Unorganised,3,10,6.6,0.46,Maintenance Staff
2021-08-12,Female,Unorganised,4,7,3.1,0.33,Cook
2021-05-20,Male,Organised,2,9,8.7,0.45,Housekeeper
2023-03-04,Male,Unorganised,1,7,3.8,0,Housekeeper
2020-05-30,Male,Organised,4,1,4.4,0.91,Housekeeping Manager
2022-01-03,Female,Organised,0,2,3.8,0.8,Janitor
2019-11-18,Female,Organised,2,10,7.4,0.62,Cook
2020-05-19,Female,Unorganised,4,8,1.8,0.47,Kitchen Helper
2021-07-28,Male,Unorganised,1,10,3.1,0.68,Janitor
2020-07-10,Male,Organised,4,5,5,0.28,Housekeeping Manager
2018-10-26,Male,Unorganised,0,9,0,0.31,Laundry Attendant
2020-09-13,Male,Unorganised,4,2,2,0.4,Cleaner
2021-09-01,Female,Organised,0,7,8.3,0.32,Housekeeper
2021-09-18,Male,Unorganised,3,10,9.1,0.59,Cleaner
2022-09-18,Female,Unorganised,0,6,6.3,0,Cleaner
2023-05-04,Female,Unorganised,1,7,0.8,0.52,Janitor
2021-11-19,Female,Organised,3,7,5.7,0.81,Housekeeper
2021-05-29,Male,Organised,0,8,4.9,0.62,Housekeeper
2021-04-16,Male,Organised,1,8,7.9,0.29,Housekeeper
2020-02-14,Female,Organised,3,5,6.7,0.63,Janitor
2023-05-03,Female,Unorganised,1,5,8.3,0.49,Security Guard
2021-04-02,Female,Organised,4,10,2.6,0.49,Laundry Attendant
2019-12-22,Male,Organised,1,8,7.7,0.71,Housekeeper
2020-07-26,Male,Unorganised,4,5,6.8,0.44,Kitchen Helper
2020-01-24,Female,Organised,1,4,4.3,0.81,Security Guard
2019-06-01,Female,Unorganised,1,2,9.2,0.45,Maintenance Staff
2022-10-25,Male,Unorganised,3,5,6.4,0.19,Housekeeping Manager
2022-09-22,Male,Unorganised,2,1,4.4,0.63,Kitchen Helper
2019-03-02,Male,Unorganised,2,2,8.2,0.76,Security Guard
2022-08-13,Male,Organised,0,6,6.5,0.43,Cook
2024-03-15,Male,Organised,1,5,5.9,0.11,Maintenance Staff
2020-05-21,Male,Organised,0,1,0,0.94,Housekeeper
2019-01-04,Male,Organised,1,3,9.2,0.62,Kitchen Helper
2018-04-30,Male,Unorganised,0,10,0,0.62,Cook
2022-12-13,Female,Unorganised,3,9,3,0.38,Security Guard
2022-09-20,Female,Organised,3,4,7.3,0.67,Security Guard
2021-02-21,Female,Unorganised,2,6,6.4,0.05,Laundry Attendant
2019-06-15,Female,Organised,0,9,6.6,0.34,Housekeeper
2023-06-24,Female,Organised,4,7,7.3,0.49,Housekeeping Manager
2018-12-09,Female,Organised,0,2,3.9,0.05,Janitor
2018-11-17,Female,Organised,0,7,5,0.67,Cleaner
2022-02-21,Male,Organised,3,9,9.2,0.67,Housekeeping Manager
2023-11-20,Female,Organised,3,10,4.4,0.42,Housekeeper
2022-05-11,Female,Organised,0,10,3,0,Laundry Attendant
2021-11-04,Female,Organised,2,9,6.8,0.68,Laundry Attendant
2023-05-28,Male,Unorganised,3,2,6.4,0.2,Cook
2018-07-29,Female,Organised,0,10,5.4,0.56,Housekeeper
2024-04-10,Male,Organised,2,2,6.9,0.42,Cook
2024-01-10,Male,Unorganised,4,5,7.4,0.61,Housekeeping Manager
2020-04-20,Female,Organised,3,2,6.3,0.5,Laundry Attendant
2022-07-14,Female,Unorganised,3,2,6.4,0.29,Cook
2024-03-25,Female,Unorganised,4,4,0,0.05,Laundry Attendant
2022-08-03,Male,Unorganised,2,8,3.9,0.32,Housekeeper
2021-04-08,Female,Unorganised,3,9,8.7,0.12,Housekeeping Manager
2022-06-04,Female,Unorganised,1,1,5.4,0.66,Janitor
2018-01-02,Female,Unorganised,0,6,4,0.38,Cook
2024-05-19,Female,Unorganised,4,4,9.2,0.44,Security Guard
2021-02-02,Male,Unorganised,2,1,5,0.51,Cleaner
2024-08-13,Female,Unorganised,2,8,0,0.39,Cleaner
2022-01-23,Male,Unorganised,3,7,7.9,0.37,Security Guard
2020-12-30,Male,Unorganised,2,3,7,0.48,Housekeeping Manager
2021-09-29,Female,Unorganised,4,2,3,0.66,Cook
2022-12-02,Male,Organised,1,7,4.3,0.44,Maintenance Staff
2023-12-29,Female,Organised,1,7,6.9,0.71,Maintenance Staff
2018-08-03,Male,Unorganised,0,10,9.2,0.45,Security Guard
2019-09-01,Female,Organised,0,8,7.9,0.38,Janitor
2021-03-28,Male,Organised,0,8,5.7,0.05,Cleaner
2018-01-10,Male,Organised,2,5,6.4,0.48,Cleaner
2020-02-15,Female,Organised,3,7,10,0.81,Janitor
2018-03-22,Female,Organised,4,4,9.1,0.59,Cleaner
2018-03-03,Female,Organised,3,7,8.2,0.66,Maintenance Staff
2024-02-02,Male,Organised,0,1,5.5,0.55,Janitor
2018-04-03,Male,Organised,4,3,4.4,0.16,Maintenance Staff
2022-08-23,Male,Unorganised,2,4,6.4,0.79,Housekeeping Manager
2022-01-15,Male,Unorganised,3,9,4.4,0.68,Kitchen Helper
2022-06-15,Female,Organised,4,7,4.3,0.34,Janitor
2024-12-23,Female,Organised,0,3,6.7,0.48,Kitchen Helper
2019-04-14,Male,Unorganised,3,1,7.5,0.61,Security Guard
2024-07-21,Female,Unorganised,4,2,6.5,0.85,Janitor
2024-03-11,Male,Unorganised,4,7,7,0,Security Guard
2020-07-05,Male,Organised,4,7,6.1,0.34,Janitor
2023-11-23,Female,Unorganised,1,3,7.3,0.91,Cleaner
2020-12-02,Female,Organised,3,3,6.2,0.46,Laundry Attendant
2018-08-14,Male,Organised,0,9,0.8,0.35,Janitor
2024-06-06,Female,Organised,1,4,5.4,0.65,Security Guard
2019-12-10,Male,Organised,2,9,3.9,0.76,Cleaner
2021-06-13,Female,Unorganised,2,6,7.7,0.19,Cleaner
2023-06-02,Female,Organised,4,10,8.3,0,Janitor
2019-10-28,Female,Unorganised,3,7,2.9,0.28,Security Guard
2023-05-28,Male,Unorganised,2,8,3.8,0.56,Security Guard
2023-10-05,Female,Unorganised,4,10,4.1,0.31,Cleaner
2021-01-30,Female,Unorganised,3,9,6.5,0.34,Cook
2022-02-16,Male,Organised,4,10,7.9,0.67,Maintenance Staff
2021-06-25,Female,Unorganised,0,5,10,0.19,Janitor
2018-09-10,Female,Unorganised,3,4,4.4,0.7,Cook
2018-11-09,Female,Organised,2,7,4.4,0,Laundry Attendant
2023-11-14,Female,Unorganised,2,2,5.1,0.38,Cook
2023-06-07,Female,Unorganised,4,8,8.2,0.42,Laundry Attendant
2020-02-20,Male,Unorganised,3,2,6,0.04,Kitchen Helper
2019-08-23,Male,Unorganised,0,10,6.1,0.38,Housekeeper
2020-01-15,Female,Unorganised,4,3,6.7,0.26,Cleaner
2018-12-03,Female,Unorganised,4,10,7,0.12,Housekeeper
2018-03-03,Male,Organised,0,1,4.3,0.26,Laundry Attendant
2024-03-29,Male,Organised,4,3,6,0.72,Maintenance Staff
2022-12-08,Male,Unorganised,0,8,4.3,0.34,Cleaner
2019-01-09,Female,Organised,2,1,9.2,0.72,Housekeeping Manager
2018-12-29,Female,Organised,0,6,4.4,0.34,Cleaner
2019-09-10,Male,Unorganised,1,7,4.3,0.72,Laundry Attendant
2021-06-13,Male,Organised,4,9,7.4,0.45,Cleaner
2018-11-07,Female,Organised,0,9,9.2,0.29,Kitchen Helper
2023-06-14,Male,Unorganised,1,10,9.1,0.11,Maintenance Staff
2022-10-04,Female,Organised,3,3,6.3,0.48,Security Guard
2019-03-05,Male,Organised,1,3,6.2,0.41,Security Guard
2023-06-14,Female,Organised,3,2,0,0.05,Housekeeper
2024-03-16,Female,Organised,3,2,2.6,0.85,Cook
2018-08-20,Female,Organised,1,1,5.7,0.16,Kitchen Helper
2023-12-06,Female,Unorganised,3,2,2.9,0.72,Laundry Attendant
2020-12-24,Female,Unorganised,0,6,6.1,0.61,Maintenance Staff
2019-07-07,Female,Unorganised,1,9,3.9,0.6,Cleaner
2023-06-16,Female,Unorganised,4,3,6.5,0.38,Kitchen Helper
2024-05-03,Female,Organised,1,10,7.7,0.05,Janitor
2019-07-22,Female,Organised,0,4,7.6,0.27,Cleaner
2022-08-26,Female,Organised,1,7,9.1,0.49,Janitor
2021-05-19,Female,Organised,1,1,5.8,0.47,Janitor
